Reference_GAVIA,ReferenceID,Reference_Full,
"{Johnson, 2009 #869}",869,"Johnson, S. A., & Sox, J. (2009). Florida's Introduced Birds: House Finch (Carpodacus mexicanus)  Retrieved 04/07/11, http://edis.ifas.ufl.edu/uw298",
"{Johnson, 2009 #870}",870,"Johnson, S. A., & Violett, H. (2009). Florida's Introduced Birds: European House Sparrow (Passer domesticus)  Retrieved 04/07/11, http://edis.ifas.ufl.edu/uw305",
"{Johnston, 1994 #416}",416,"Johnston, R. F., & Garrett, K. L. (1994). Population Trends of Introduced Birds in Western North America. Studies in Avian Biology, 15, 221-231. ",
"{Jones, 1996 #32}",32,"Jones, C. (1996). Bird introductions to Mauritius: status and relationships with native birds. In J. Holmes & J. Simons (Eds.), The Introduction and Naturalisation of Birds (pp. 113-123). London: HMSO.",
"{Jones, 2006 #316}",316,"Jones, P., & Tye, A. (2006). The Birds of Sao Tome and Principe with Annobon British Ornithological Union.",
"{Joshi, 2006 #153}",153,"Joshi, R. C. (2006). Invasive alien species (IAS): Concerns and status in the Philippines. Science City of Muñoz, Nueva Ecija: Philippine Rice Research Institute (PhilRice) Maligaya.",
"{Jourdain, 1929 #773}",773,"Jourdain, F. C. R. (1929). The breeding birds of Cyprus. Journal of Ornithology, 77(4), 33-40. ",
"{Juniper, 1998 #209}",209,"Juniper, T., & Parr, M. (1998). Parrots: a guide to the parrots of the world. Mountfield, East Sussex: Pica Press.",
"{Kairo, 2003 #109}",109,"Kairo, M., Ali, B., Cheesman, O., Haysom, K., & Murphy, S. (2003). Invasive Species Threats in the Caribbean Region Report to the Nature Conservancy: CAB International.",
"{Kark, 2005 #99}",99,"Kark, S., & Sol, D. (2005). Establishment Success across Convergent Mediterranean Ecosystems: an Analysis of Bird Introductions. Conservation Biology, 19(5), 1519-1527. ",
"{Kato, 2005 #785}",785,"Kato, Y., & Suzuki, T. (2005). Introduced Animals in the Diets of the Ogasawara Buzzard, an Endemic Insular Raptor in the Pacific Ocean. Journal of Raptor Reseach, 39(2), 173-179. ",
"{Kaufman, 2000 #415}",415,"Kaufman, K. (2000). Birds of North America: Houghton Mifflin Harcourt.",
"{Kawakami, 2004 #23}",23,"Kawakami, K., & Yamaguchi, Y. (2004). The spread of the introduced Melodious Laughing Thrush Garrulax canorus in Japan. Ornithological Science, 3(1), 13-21. ",
"{Kawakami, 2009 #570}",570,"Kawakami, K., Mizusawa, L., & Higuchi, H. (2009). Re-established mutualism in a seed-dispersal system consisting of native and introduced birds and plants on the Bonin Islands, JApan. Ecol Res, 24, 741-748. ",
"{Keith, 2003 #434}",434,"Keith, A. R., Wiley, J. W., Latta, S. C., & Ottenwalder, J. A. (2003). The Birds of Hispaniola: Haiti and the Dominican Republic: British Ornithologists' Union.",
"{Kelly, 2006 #609}",609,"Kelly, D., Robertson, A. W., Ladley, J. J., Anderson, S. H., & McKenzie, R. J. (2006). Relative (Un)Importance of Introduced Animals as Pollinators and Dispersers of Native Plants. In R. B. Allen & W. G. Lee (Eds.), Biological Invasions in New Zealand. Berlin: Springer.",
"{Keng, 2007 #48}",48,"Keng, W. L., & Hails, C. J. (2007). An annotated checklist of the birds of Singapore. The Raffles Bulletin of Zoology, Suppl. 15, 1-179. ",
"{Kennedy, 2000 #220}",220,"Kennedy, R. S., Gonzales, P. C., Dickinson, E. C., Miranda, H. C. J., & Fisher, T. H. (2000). A guide to the birds of the Philippines. Oxford: Oxford University Press.",
"{Kent, 1927 #733}",733,"Kent, C. C. (1927). The Indian Mynah. The South African Journal of Natural History, 6(2), 127-129. ",
"{Khan, 1993 #41}",41,"Khan, M. A. R. (1993). The introduced but naturalized avifauna of the United Arab Emirates. Journal of the Bombay Natural History Society, 90(3), 437-445. ",
"{Khan, 2009 #112}",112,"Khan, S. B., Javed, S., & Shah, J. N. (2009). Distribution and status of Galliformes in the United Arab Emirates. International Journal of Galliformes Conservation, 1, 58-62. ",
"{Kinghorn, 1931 #612}",612,"Kinghorn, J. R. (1931). Notes on the Starling. Emu, 30(3), 225-226. ",
"{Kirkwood, 2010 #571}",571,"Kirkwood, J., & O'Connor, J. (2010). The state of Australia's birds 2010: islands and birds. Wingspan, Supplement 20(4). ",
"{Kirwan, 2000 #750}",750,"Kirwan, G. M. (2000). Rose-ringed parakeet (Psittacula Krameri) recorded in the West Indies. El Pitirre, 13(2), 42. ",
"{Kirwan, 2008 #393}",393,"Kirwan, G. M., Boyla, K., Castell, P., Demirci, B., Ozen, M., Welch, H., & Marlow, T. (2008). The Birds of Turkey. London: Christopher Helm.",
"{Ko?nig, 1999 #250}",250,"Ko?nig, C., Weick, F., & Becking, J. H. (1999). Owls: a guide to the owls of the world. Mounfield: Pica Press.",
"{Korthals, 2010 #868}",868,"Korthals, A., & Philipp, F. (2010). The alien avian species Greater Rhea (Rhea americana spp.) in Mecklenburg-Western Pomerania and Schleswig-Holstein (Germany) TB Conference.",
"{Kraus, 2003 #424}",424,"Kraus, F. (2003). Invasion Pathways for Terrestrial Vertebrates. In G. M. Ruiz & J. T. Carlton (Eds.), Invasive species: vectors and management strategies (pp. 68-92). Washington: Island Press.",
"{Kumschick, 2010 #774}",774,"Kumschick, S., & Nentwig, W. (2010). Some alien birds have as severe an impact as the most effectual alien mammals in Europe. Biological Conservation, 143, 2757-2762. ",
"{Kwok, 2007 #152}",152,"Kwok, H.-K. (2007). Changes of a forest bird community in Hong Kong of China in 10 years. Acta Ecologica Sinica, 27(10), 3993-4001. ",
"{Kwok, 2010 #895}",895,"Kwok, H. K. (2010). Hong Kong Bird Species.",
"{Lack, 1940 #786}",786,"Lack, D. (1940). Variation in the Introduced English Sparrow. The Condor, 42(5), 239-241. ",
"{Lack, 1969 #364}",364,"Lack, D. (1969). The numbers of bird species on islands. Bird Study, 16(4), 193-209. ",
"{Lack, 1973 #437}",437,"Lack, D., Lack, E., Lack, P., & Lack, A. (1973). Birds on St Vincent. Ibis, 115(1), 46-52. ",
"{Lack, 2010 #885}",885,"Lack, P. (2010). African Bird Club List of African Birds - Passerines  Retrieved 01.09.10, http://www.africanbirdclub.org/resources/checklist.html",
"{Lack, 2010 #886}",886,"Lack, P. (2010). African Bird Club List of African Birds - Non-Passerines  Retrieved 01.09.10, http://www.africanbirdclub.org/resources/checklist.html",
"{Lahti, 2003 #108}",108,"Lahti, D. C. (2003). A case study of species assessment in invasion biology: the Village Weaverbird Ploceus cucullatus. Animal Biodiversity and Conservation, 26(1), 45-55. ",
"{Lahti, 2005 #861}",861,"Lahti, D. C. (2005). Evolution of bird eggs in the absence of cuckoo parasitism. PINAS, 102(50), 18057-18062. ",
"{Lang, 1997 #787}",787,"Lang, A. L., & Barlow, J. C. (1997). Cultural evolution in the Eurasian Tree Sparrow: divergence between introduced and ancestral populations. The Condor, 99, 413-423. ",
"{Langrand, 1990 #499}",499,"Langrand, O. (1990). Guide to the birds of Madagascar: Yale University Press.",
"{Latta, 2003 #708}",708,"Latta, S. C., Rimmer, C. C., & McFarland, K. P. (2003). Winter bird communities in four habitats along an elevational gradient on Hispaniola. The Condor, 105, 179-197. ",
"{League, 2003 #561}",561,"League, G. (2003). Dealing with unwelcome visitors: introduced birds  Retrieved 26.05.2011, from www.gould.edu.au/wildlifecams/",
"{Lee, 2005 #144}",144,"Lee, T.-W., & Shieh, B.-S. (2005). Pet Sales of Exotic Estrildid Birds in Relation to the Field-Records in Taiwan. Endemic Species Research, 7(2), 1-12. ",
"{Lee, 2005 #871}",871,"Lee, K. A., Martin II, L. B., & Wikelski, M. C. (2005). Responding to inflammatory challenges is less costly for a successful avian invader, the house sparrow (Passer domesticus), than its less-invasive congener. Oecologia, 145, 244-251. ",
"{Lenden, 1948 #616}",616,"Lenden, A. H. (1948). A further report on the introduced Grenadier Weaver (Pyromelana orix). The South Australian Ornithologist, 19(2), 2. ",
"{Lesel, 1975 #509}",509,"Lesel, R. a. D., P. . (1975). Introducing animals to Iles Kerguelen. Polar Record, 17(110), 485-494. ",
"{Leven, 2004 #26}",26,"Leven, M. R., & Corlett, R. T. (2004). Invasive birds in Hong Kong, China. Ornithological Science, 3(1), 43-55. ",
"{Lever, 2005 #385}",385,"Lever, C. (2005). Naturalised Birds of the World. London: T & A D Poyser.",
"{Lever, 2009 #839}",839,"Lever, C. (2009). The Naturalized Animals of Britain and Ireland. London: New Holland Publishers Ltd.",
"{Levesque, 2002 #701}",701,"Levesque, A., & Clergeau, P. (2002). First colonisation of the Lesser Antilles by the house sparrow (Passer domesticus). El Pitirre, 15(2), 73-74. ",
"{Lewis, 1989 #642}",642,"Lewis, A., & Pomeroy, D. (1989). A Bird Atlas of Kenya. Rotterdam: Balkema.",
"{Li, 2010 #149}",149,"Li, S.-H., Yeung, C. K.-L., Han, L., Le, M. H., Wang, C.-X., Ding, P., & Yao, C.-T. (2010). Genetic introgression between an introduced babbler, the Chinese hwamei Leucodioptron c. canorum, and the endemic Taiwan hwamei L. taewanus: a multiple marker systems analysis. Journal of Avian Biology, 41, 64-73. ",
"{Lim, 2003 #145}",145,"Lim, H. C., Sodhi, N. S., Brook, B. W., & Soh, M. C. K. (2003). Undesirable aliens: factors determining the distribution of three invasive bird species in Singapore. Journal of Tropical Ecology, 19, 685-695. ",
"{Lim, 2004 #142}",142,"Lim, H. C., & Sodhi, N. S. (2004). Responses of avian guilds to urbanisation in a tropical city. Landscape and Urban Planning, 66, 199-215. ",
"{Lin, 2001 #147}",147,"Lin, R.-S. (2001). The occurrence, distribution and relative abundance of exotic starlings and mynas in Taiwan. Endemic Species Research, 3, 13-23. ",
"{Lin, 2006 #146}",146,"Lin, R.-S., & Lee, P.-F. (2006). Status of Feral Populations of Exotic Cockatoos (Genus Cacatua) in Taiwan. Taiwania, 51(3), 188-194. ",
"{Linnebjerg, 2009 #73}",73,"Linnebjerg, J. F., Hansen, D. M., & Olesen, J. M. (2009). Gut passage effect of the introduced red-whiskered bulbul (Pycnonotus jocosus) on germination of invasive plant species in Mauritius. Austral Ecology, 34(3), 272-277. ",
"{Liversidge, 1962 #341}",341,"Liversidge, R. (1962). The spread of the European Starling in the Eastern Cape. The Ostrich, 33(3), 13-16. ",
"{Liversidge, 1979 #500}",500,"Liversidge, R. (1979). Birds Naturalised in South Africa. Bokmakierie, 31, 43-44. ",
"{Lockwood, 1993 #90}",90,"Lockwood, J. L., Moulton, M. P., & Anderson, S. K. (1993). Morphological Assortment and the Assembly of Communities of Introduced Passeriforms on Oceanic Islands: Tahiti Versus Oahu. The American Naturalist, 141(3), 398-408. ",
"{Lockwood, 1994 #709}",709,"Lockwood, J. L., & Moulton, M. P. (1994). Ecomorphological pattern in Bermuda birds: the influence of competition and implcations for nature preserves. Evolutionary Ecology, 8, 53-60. ",
"{Long, 1981 #204}",204,"Long, J. L. (1981). Introduced birds of the world. Newton Abbot, England: David & Charles.",
"{Long, 1991 #655}",655,"Long, J. L., & Mawson, P. R. (1991). Species of introduced birds in mediterranean Australia. In R. Groves & F. di Castri (Eds.), Biogeography of Mediterranean Invasions: Cambridge Univeristy Press.",
"{Loope, 1988 #806}",806,"Loope, L. L., Hamann, O., & Ston, C. P. (1988). Comparative Conservation Biology of Oceanic Archipelagoes: Hawaii and the Galápagos. BioScience, 38(4), 272-282. ",
"{Loope, 2001 #578}",578,"Loope, L. L., Howarth, F. G., Kraus, F., & Pratt, T. K. (2001). Newly emergent and future threats of alien species to pacific birds and ecosystems. Studies in Avian Biology, 22, 291-304. ",
"{Loustau-Lalanne, 1962 #51}",51,"Loustau-Lalanne, P. (1962). The birds of the Chagos Archipelago, Indian Ocean. Ibis, 104, 67-73. ",
"{Lukac, 2007 #391}",391,"Lukac, G. (2007). List of Croatian Birds. Natura Croatica, 16(Supplement 1), 1-148. ",
"{Lyons, 2000 #484}",484,"Lyons, E. E. a. M., S.E. (2000). Invasive species in Eastern Africa. Paper presented at the Convention on Biological Diversity.",
"{Macdonald, 1986 #378}",378,"Macdonald, I. A. W., & Richardson, D. M. (1986). Alien species in terrestrial ecosystems of the fynbos biome. In I. A. W. Macdonald, F. J. Kruger & A. A. Ferrar (Eds.), The Ecology and Management of Biological Invasions in Southern Africa: Proceeding of the National Synthesis Symposium on the Ecology of Biological Invasions (pp. 77-91). Cape Town: Oxford University Press.",
"{Macdonald, 1988 #201}",201,"Macdonald, I. A. W., Graber, D. M., De Benedetti, S., Groves, R. H., & Fuentes, E. R. (1988). Introduced species in nature reserves in Mediterranean type climatic regions of the world. Biological Conservation, 44, 37-66. ",
"{MacDonald, 1988 #479}",479,"MacDonald, I. A. W. (1988). The invasion of introduced species into nature reserves in tropical savannas and dry woodlands. Biological Conservation, 44, 67-93. ",
"{Macdonald, 2003 #367}",367,"Macdonald, I. A. W., Reaser, J. K., Bright, C., Neville, L. E., Howard, G. W., Murphy, S. J., & Preston, G. e. (2003). Invasive alien species in southern Africa: national reports and directory of resources. Cape Town, South Africa: Global Invasive Species Programme.",
"{MacGregor-Fors, 2011 #980}",980,"MacGregor-Fors, I., Calderon-Parra, R., Melendez-Herrada, A. M., Lopez-Lopez, S., & Schondube, J. E. (2011). Pretty, but dangerous! Records of non-native Monk Parakeets (Myiopsitta monachus) in Mexico. Revista Mexicana de Biodiversidad, 82, 1053-1056. ",
"{MacKinnon, 1993 #293}",293,"MacKinnon, J., & Phillipps, K. (1993). A field guide to the birds of Borneo, Sumatra, Java, and Bali. Oxford: Oxford University Press.",
"{MacKinnon, 2000 #225}",225,"MacKinnon, J. R., Phillipps, K., & He, F.-q. (2000). A field guide to the birds of China. New York: Oxford University Press.",
"{MacLeod, 2005 #579}",579,"MacLeod, C. J., Duncan, R. P., Parish, D. M. B., Wratten, S. D., & Hubbard, S. F. (2005). Can increased niche opportunities and release from enemies explain the success of introduced Yellowhammer populations in New Zealand. Ibis, 147, 598-607. ",
"{Madge, 1988 #208}",208,"Madge, S., & Burn, H. (1988). Wildfowl: an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",
"{Madge, 1994 #212}",212,"Madge, S., & Burn, H. (1994). Crows and jays: guide to the crows, jays and magpies of the world. London: Christopher Helm.",
"{Madge, 2002 #205}",205,"Madge, S., & McGowan, P. J. K. (2002). Pheasants, partridges and grouse: a guide to the pheasants, partridges, quails, grouse, guineafowl, buttonquails and sandgrouse of the world. London: Christopher Helm.",
"{Mahabir, 2004 #438}",438,"Mahabir, K. (2004). Animals from India in the Caribbean. Records of the Zoological Survey of India, 103(1-2), 179-183. ",
"{Manchester, 2000 #775}",775,"Manchester, S. J., & Bullock, J. M. (2000). The impacts of non-native species on UK biodiversity and the effectiveness of control Journal of Applied Ecology, 37(5), 845-864. ",
"{Mandon-Dalger, 2004 #76}",76,"Mandon-Dalger, I., Clergeau, P., Tassin, J., Riviere, J.-N., & Gatti, S. (2004). Relationships between alien plants and an alien bird species on Reunion Island. Journal of Tropical Ecology, 20, 635-642. ",
"{Mann, 1972 #742}",742,"Mann, C. F., & Britton, P. (1972). Naturalised birds on the Kenya coast. East African Natural History Society Bulletin, 181-182. ",
"{Marchant, 1990 #404}",404,"Marchant, S. a. H., P.J. (Editors). (1990). Handbook of Australia, New Zealand and Antarctic birds (Vol. 1: Part A: Ratites to Petrels). Victoria: Oxford University Press.",
"{Marchant, 1990 #405}",405,"Marchant, S. a. H., P.J. (Editors). (1990). Handbook of Australia, New Zealand and Antarctic birds (Vol. 1: Part B: Australian Pelicans to Ducks). Victoria: Oxford University Press.",
"{Marchant, 1993 #406}",406,"Marchant, S., & Higgins, P. J. (1993). Handbook of Australian, New Zealand & Antarctic Birds (Vol. 2: Raptors to Lapwings). Melbourne: Oxford University Press.",
"{Marchant, 1996 #776}",776,"Marchant, J. H. (1996). Recording and monitoring of escaped and introduced birds in Britain and Ireland. In J. S. Holmes & J. R. Simons (Eds.), The introduction and naturalisation of birds. London: HMSO.",
"{Marchant, 2011 #735}",735,"Marchant, J., & Thewlis, R. (2011). Monitoring non-native species: here to stay. British Trust for Ornithology.",
"{Markula, 2009 #582}",582,"Markula, A., Hannan-Jones, M., & Csurhes, S. (2009). Pest animal risk assessment: Indian myna Acridotheres tristis. Queensland: Queensland Government: Queensland Primary Industries and Fisheries.",
"{Marler, 1951 #456}",456,"Marler, P., & Boatman, D. J. (1951). Observation on the Birds of Pico, Azores. Ibis, 93, 90-99. ",
"{Martin, 1996 #631}",631,"Martin, W. K. (1996). The Current and Potential Distribution of the Common Myna Acridotheres tristis in Australia. Emu, 96, 166-173. ",
"{Maurer, 2001 #417}",417,"Maurer, B. A., Linder, E. T., & Gammon, D. (2001). A Geographical Perspective on the Biotic Homogenization Process: Implications from the Macroecology of North American Birds. In J. M. Lockwood, M. (Ed.), Biotic Homogenization (pp. 157-173): Kluwer Academic/Plenum Publishers.",
"{Mayr, 2001 #217}",217,"Mayr, E., & Diamond, J. M. (2001). The birds of Northern Melanesia: speciation, ecology, & biogeography. New York: Oxford University Press.",
"{Mazar Barnett, 2001 #302}",302,"Mazar Barnett, J., & Pearman, M. (2001). Annotated checklist of the birds of Argentina. Barcelona: Lynx Edicions.",
"{McClory, 2008 #135}",135,"McClory, J., & Gotthardt, T. (2008). Non-Native and Invasive Animals of Alaska: A Comprehensive List and Select Species Status Reports (Vol. Final Report, pp. 1-64). Anchorage, AK: Alaska Natural Heritage Program, Environment and Natural Resources Institute, University of Alaska.",
"{McCulloch, 2004 #298}",298,"McCulloch, N. (2004). A guide to the birds of St Helena and Ascension Island. Sandy, Bedfordshire: Royal Society for the Protection of Birds.",
"{McLain, 1995 #584}",584,"McLain, D. K., Moulton, M. P., & Redfearn, T. P. (1995). Sexual selection and the risk of extinction of introduced birds on oceanic islands. Oikos, 74(1), 27-34. ",
"{Medway, 1975 #586}",586,"Medway, L., & Marshall, A. G. (1975). Terrestrial vertebrates of the New Habrides: origin and distribution. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, 272(918), 423-465. ",
"{Meinertzhagen, 1952 #332}",332,"Meinertzhagen, R. (1952). An historical note on the starling Stumus vulgaris at the Cape of Good Hope. Bulletin of the British Ornithologists' Club, 72, 47. ",
"{Melling, 2008 #187}",187,"Melling, T. M., Dudley, S., & Doherty, P. (2008). The eagle owl in Britain. British Birds, 101, 478-490. ",
"{Mendelssohn, 1999 #560}",560,"Mendelssohn, H., & Yom-Tov, Y. (1999). A report of birds and mammals which have increased their distribution and abundance in Israel due to human activity. Israel Journal of Zoology, 45, 35-47. ",
"{Merila, 1996 #587}",587,"Merila, J., Bjorklund, M., & Baker, A. J. (1996). The successful founder: genetics of introduced Carduelis chloris (greenfinch) populations in New Zealand. Heredity, 77, 410-422. ",
"{Merlin, 1985 #660}",660,"Merlin, M. D., & Juvik, J. O. (1985). Bird protection in Western Samoa. Oryx, 19(2), 97-103. ",
"{Miller, 1978 #711}",711,"Miller, R. J. (1978). Notes on birds of San Salvador Island (Watlings), the Bahamas. The Auk., 95(2), 281-287. ",
"{Moncrieff, 1931 #659}",659,"Moncrieff, P. (1931). Certain Introduced Birds of New Zealand. Emu, 30(3), 219-224. ",
"{Monnet, 1993 #590}",590,"Monnet, C., Thibault, J.-C., & Varney, A. (1993). Stability and changes during the twentieth century in the breeding landbirds of Tahiti (Polynesia). Bird Conservation International, 3, 261-280. ",
"{Moors, 1983 #661}",661,"Moors, P. J. (1983). Predation by mustelids and rodents on the eggs and chicks of native and introduced birds in Kowhai Bush, New Zealand. Ibis, 125, 137-154. ",
"{Moreau, 1944 #480}",480,"Moreau, R. E. (1944). Clutch-size in introduced birds. The Auk., 61(4), 583-587. ",
"{Moreno, 1997 #712}",712,"Moreno, J. A. (1997). Review of the subspecific status and origin of introduced Finches in Puerto Rico. Carribean Journal of Science, 33(3-4), 233-238. ",
"{Morgan, 1993 #457}",457,"Morgan, D. H. W. (1993). Feral Rose-ringed Parakeets in Britain. British Birds, 86, 561-564. ",
"{Moulton, 1983 #594}",594,"Moulton, M. P., & Pimm, S. L. (1983). The introduced Hawaiian avifauna: biogeographic evidence for competition. The American Naturalist, 121(5). ",
"{Moulton, 1985 #591}",591,"Moulton, M. P. (1985). Morphological similarity and coexistence of congeners: an experimental test with introduced Hawaiian birds. Oikos, 44(2), 301-305. ",
"{Moulton, 1986 #88}",88,"Moulton, M. P., & Scioli, M. E. T. (1986). Range Sizes and Abundances of Passerines Introduced to Oahu, Hawaii. Journal of Biogeography, 13(4), 339-344. ",
"{Moulton, 1987 #595}",595,"Moulton, M. P., & Pimm, S. L. (1987). Morphological assortment in introduced Hawaiian passerines. Evolutionary Ecology, 1, 113-124. ",
"{Moulton, 1991 #790}",790,"Moulton, M. P., & Ferris, D. K. (1991). Summer diets of some introduced Hawaiian finches. Wilson Bulletin, 103(2), 286-292. ",
"{Moulton, 1992 #593}",593,"Moulton, M. P., & Lockwood, J. L. (1992). Morphological dispersion of introduced Hawaiian finches: evidence for competition and a narcissus effect. Evolutionary Ecology, 6, 45-55. ",
"{Moulton, 1993 #87}",87,"Moulton, M. P. (1993). The All-or-None Pattern in Introduced Hawaiian Passeriforms: The Role of Competition Sustained. The American Naturalist, 141(1), 105-119. ",
"{Moulton, 1997 #596}",596,"Moulton, M. P., & Sanderson, J. G. (1997). Predicting the fates of Passeriform introductions on oceanic islands. Conservation Biology, 11(2), 552-558. ",
"{Moulton, 2010 #134}",134,"Moulton, M. P., Cropper Jr., W. P., Avery, M. L., & Moulton, L. E. (2010). The earliest House Sparrow introductions to North America. Biological Invasions, 12(9). ",
"{Mountainspring, 1985 #597}",597,"Mountainspring, S., & Scott, M. J. (1985). Interspecific competition among Hawaiian forest birds. Ecological Monographs, 55(2), 219-239. ",
"{Muensch, 2006 #598}",598,"Muensch, A. J., Leininger, P. D., Werth, D. E., Fawks, A. M., & Thomas, S. M. (2006). The Anoles of Coconut Island, Kane'ohe Bay, O'ahu, Hawai'i. Iguana, 13(3), 198-206. ",
"{Muñoz-Fuentes, 2006 #778}",778,"Muñoz-Fuentes, V., Vila, C., Green, A. J., Negro, J. J., & Sorenson, M. D. (2006). Hybridization between white-headed ducks and introduced ruddy ducks in Spain. Molecular Ecology, 16(3), 629-638. ",
"{Murdoch, 2008 #568}",568,"Murdoch, D. A., & Betton, K. F. (2008). A checklist of the birds in Syria. Sandgrouse, Supplement 2, 1-48. ",
"{Murgui, 2001 #779}",779,"Murgui, E. (2001). Factors influencing the distribution of exotic bird species in Comunidad Valenciana (Spain). Ardeola, 48(2), 149-160. ",
"{Murgui, 2003 #460}",460,"Murgui, E., & Valentín, A. (2003). Relationships between the characteristics of the urban landscape and the introduced bird community in the city of Valencia (Spain). Ardeola, 50(2), 201-214. ",
"{Murray, 1984 #748}",748,"Murray, J., & Murray, N. (1984). Ringnecked Parakeet in Cape Town. Promerops, 164, 17. ",
"{Muscetta, 2011 #975}",975,"Muscetta, G., Shine, C., & Ziller, S. R. (2011). Invasive alien species in Guyana: Assessment report, national strategy and action plan.",
"{Narosky, 2003 #282}",282,"Narosky, T., & Yzurieta, D. o. (2003). Birds of Argentina and Uruguay: a field guide (15 ed.). Buenos Aires, Argentina: Vazquez Mazzini.",
"{Narusue, 1981 #382}",382,"Narusue, M. (1981). Exotic birds seen in a metropolitan area of Tokyo. Yurikamome, 309, 6-7. ",
"{NatureServe, 2010 #388}",388,"NatureServe. (2010). NatureServe Explorer: An Online encyclopedia of life [web application]. Version 7.1. NatureServe  Retrieved 10.04.11, from http://www.natureserve.org/explorer",
"{NBN, 2011 #475}",475,"NBN. (2011). National Biodiversity Network  Retrieved 12.05.2011, from http://data.nbn.org.uk/",
"{Nebot, 1999 #831}",831,"Nebot, J. C. (1999). First report on the Rose-ringed Parakeet (Psittacula krameri) in Venezuela and preliminary oberservation on its behaviour. Ornitologia Neotropical, 10, 115-117. ",
"{Nikolaus, 1987 #376}",376,"Nikolaus, G. (1987). Distribution atlas of Sudan's birds with notes on habitat and status. Bonner Zoologische Monographien, 25, 5-322. ",
"{Nummi, 1996 #780}",780,"Nummi, P. (1996). Wildlife introductions to mammal-deficient area: the Nordic countries. Wildlife Biology, 2(3). ",
"{Nummi, 2003 #781}",781,"Nummi, P., & Saari, L. (2003). Density-dependent decline of breeding success in an introduced, increasing mute swan Cygnus olor population. Journal of Avian Biology, 34, 105-111. ",
"{Nyari, 2006 #188}",188,"Nyari, A., Ryall, C., & Peterson, A. T. (2006). Global invasive potential of the house crow Corvus splendens based on ecological niche modelling. Journal of Avian Biology, 37, 306-311. ",
"{Oatley, 1973 #342}",342,"Oatley, T. B. (1973). Indian house crow - first SA sightings. Bokmakierie, 25, 41-42. ",
"{O'Connor, 1986 #782}",782,"O'Connor, J. R., Usher, M. B., Gibbs, A., & Brown, K. C. (1986). Biological characteristics of invasive among bird species in Britain [and discussion]. Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, 314(1167), 583-598. ",
"{Olah, 2009 #978}",978,"Olah, J. (2009). Birdquest: Yemen and Socotra Tour Report: Birdquest.",
"{Olsen, 2006 #605}",605,"Olsen, P., Silcocks, A., & Weston, M. (2006). The state of Australia's birds: invasive species. Supplement: Wingspan, 16(4). ",
"{Orenstein, 1983 #610}",610,"Orenstein, R. I., & Pratt, D., H. (1983). The relationship and evolution of the southwest pacific warbler Genera Vitia and Psamathia (Sylviinae). The Wilson Bulletin, 95(2), 184-198. ",
"{OSME, 2010 #897}",897,"OSME. (2010). The OSME Region List of Bird Taxa: Part B, Passerines (2.3 ed.): Ornithological Society of the Middle East.",
"{Pakenham, 1979 #503}",503,"Pakenham, R. H. W. (1979). The Birds of Zanzibar and Pemba: BOU Checklist (Vol. Issue 2): British Ornithologists' Union.",
"{Parker, 1994 #645}",645,"Parker, V. (1994). Swaziland Bird Atlas, 1985-1991. Mbabane: Websters.",
"{Parker, 1999 #644}",644,"Parker, V. (1999). The atlas of the birds of Sul do Save, Southern Mozambique. Cape Town: Avian Demography Unit.",
"{Parker, 2005 #646}",646,"Parker, V. (2005). The atlas of the birds of central Mozambique. Cape Town: Avian Demography Unit.",
"{Parker, 2006 #818}",818,"Parker, P. G., Whiteman, N. K., & Miller, R. E. (2006). Conservation Medicine on the Galápagos Islands: Partnerships among Behavioral, Population, and Veterinary Scientists. The Auk, 123(3). ",
"{Parrott, 2008 #120}",120,"Parrott, D., Roy, S., & Fletcher, M. (2008). The Status of Scarce Non-Native Birds and Mammals in England: Central Science Laboratory.",
"{Parrott, 2009 #121}",121,"Parrott, D., Roy, S., Baker, R., Cannon, R., Eyre, D., Hill, M., . . . Mumford, J. (2009). Horizon Scanning for New Invasive Non-Native Animal Species in England: Natural England.",
"{Parsons, 2006 #611}",611,"Parsons, H., Major, R. E., & French, K. (2006). Species interactions and habitat associations of birds inhabiting urban areas of Sydney, Australia. Animal Ecology, 31, 217-227. ",
"{Patrikeev, 2004 #296}",296,"Patrikeev, M., & Harper, G. H. (2004). The birds of Azerbaijan (1999-2003 edition. ed., pp. 380 p. : ill., photos (some col.)., maps ; 329 cm.). Sofia; Moscow: Pensoft.",
"{Patten, 1957 #744}",744,"Patten, G. (1957). House Sparrows occupying Lesser Striped Swallow's nest. Witwatersrand Bird Club News Sheet, 23, 6. ",
"{Peacock, 2007 #74}",74,"Peacock, D. S., van Rensburg, B. J., & Robertson, M. P. (2007). The distribution and spread of the invasive alien common myna, Acridotheres tristis L.(Aves: Sturnidae), in southern Africa. South African Journal of Science, 103, 465-473. ",
"{Pedersen, 2010 #905}",905,"Pedersen, T. (2010). Escaped Birds in the UAE.",
"{Peh, 2010 #172}",172,"Peh, K. S.-H. (2010). Invasive species in Southeast Asia: the knowledge so far. Biodiversity and Conservation, 19, 1083-1099. ",
"{Pell, 1997 #89}",89,"Pell, A. S., & Tidemann, C. R. (1997). The impact of two exotic hollow-nesting birds on two native parrots in savannah and woodland in Eastern Australia. Biological Conservation, 79, 145-153. ",
